Title 	 TargetName 	 SourceType 	 BkgTarget 	 EffExp [s] 	 RA 	 DEC 	 ASN 	 DataProblem 	 FileName 
Radiative Feedback from Massive Stars as Traced by Multiband Imaging and Spectroscopic Mosaics	ORIBAR-MIRI-IFU-H2	EXTENDED	False	14086.115999999995	83.83534956285406	-5.419724320392154	jw01288_20240906t141950_pool.csv	False	jw01288-o002_t010_miri
Sparse Spectral Mapping of NGC 1514	NGC 1514	EXTENDED	False	715.962	62.328733684608856	30.766226242261215	jw01238_20240701t040247_pool.csv	False	jw01238-o016_t018_miri
!!!Physics and Chemistry of PDR Fronts!!!		EXTENDED	True	366.2999999999999	315.69526568480745	68.23532150343576	jw01192_20240903t100235_pool.csv	False	jw01192-o002_t012_miri
!!!MIRI plate scale and distortion!!!	2MASS J05220207-6930388	POINT	False	17377.297999999995	80.50894390565988	-69.51101097422634	jw01024_20240716t144939_pool.csv	False	jw01024-c1000_t002_miri
!!!CAR MIRI-015 (MRS): MIRI MRS Spectral Resolution and Dispersion!!!	HD 76534	POINT	False	3429.948000000001	133.78625480313795	-43.46661561503812	jw01031_20240716t181734_pool.csv	False	jw01031-o001_t013_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	HD138813	POINT	False	3696.348	233.8169665424147	-25.734290832400728	jw01282_20241001t050842_pool.csv	False	jw01282-o037_t040_miri
!!!NIRCam Y-Dwarfs!!!		POINT	False	2997.042	277.1333781919384	26.844402955091237	jw01189_20240930t231133_pool.csv	False	jw01189-o016_t005_miri
MIRI EC Protoplanetary and Debris Disks Survey	2MASS-J16281370-2431391	EXTENDED	False	3696.348	247.05726659603266	-24.5278391242025	jw01282_20241001t050842_pool.csv	False	jw01282-o072_t030_miri
Sparse Spectral Mapping of NGC 1514	NGC 1514	EXTENDED	False	715.962	62.294740731826366	30.76247581610603	jw01238_20240701t040247_pool.csv	False	jw01238-o020_t016_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	DG-Tau	EXTENDED	False	2364.336	66.76957185591385	26.104351387598577	jw01282_20241001t050842_pool.csv	False	jw01282-o005_t010_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	DM-Tau	POINT	False	3696.348	68.45311983696949	18.16933366882802	jw01282_20241001t050842_pool.csv	False	jw01282-o013_t018_miri
!!!MIRI Spectroscopic Observations of Brown Dwarfs!!!	Eps Ind Ba+Bb	POINT	False	1998.024	331.0593434932931	-56.78793247540598	jw01278_20240701t190308_pool.csv	False	jw01278-o038_t002_miri
NGC6240	NGC 6240 inter-nuclei	EXTENDED	False	1665.024	253.24545252997257	2.4010387935572393	jw01265_20240701t145224_pool.csv	False	jw01265-o001_t004_miri
